SEQ,MNAME,PRICE,MYEAR,MILEAGE,COLOR,TRANS,F_TYPE,DISP,VTYPE,VNUM,CU_HIS,MVD_HIS,AVD_HIS,FD_HIS,VT_HIS,US_HIS,L_NAME
1,한국GM 쉐보레 스파크 밴 2인승 밴,230,15년03월(14년형),164960,흰색,오토,가솔린,995,경차,64무8645,0,0,0,0,0,1,
2,한국GM 쉐보레 트랙스 1.6 디젤 LTZ,940,15년12월(16년형),38763,회색,오토,디젤,0,소형,65우0885,0,0,0,0,0,6,
3,한국GM 쉐보레 크루즈 1.8 LT 기본형,440,12년09월(13년형),117158,흰색,오토,가솔린,1796,준중형,49저9588,0,0,0,0,0,1,
4,한국GM 신형 캡티바 2.0 스페셜 에디션 5인승 퍼펙트 블랙,1450,17년02월(16년형),76000,검정색,오토,디젤,1956,SUV,16로1199,0,0,0,0,0,1,
5,한국GM 올 뉴 말리부 1.5 터보 LTZ,1230,16년11월(17년형),59829,파랑색,오토,가솔린,1490,중형,64주0343,0,0,0,0,0,2,
6,한국GM 쉐보레 볼트 EV PREMIER,2130,19년11월(19년형),75790,흰색,오토,전기,174,소형,33라7812,0,0,0,0,0,2,
7,한국GM 더 넥스트 스파크 LT Plus,630,15년10월(16년형),47936,흰색,오토,가솔린,999,경차,20가0381,0,0,0,0,0,3,
8,한국GM 마티즈 CREATIVE JAZZ 스타,167,09년12월(10년형),126933,은색,오토,가솔린,998,경차,18노1971,0,0,0,0,0,7,
9,한국GM 마티즈2 MD,99,07년08월(08년형),119340,회색,오토,가솔린,0,경차,14수2688,0,0,0,0,0,1,
10,한국GM 쉐보레 말리부 2.0 디젤 LT 디럭스팩,490,14년08월(14년형),96532,흰색,오토,디젤,1956,중형,38서1048,0,0,0,0,0,1,
11,한국GM 쉐보레 크루즈 1.8 LT+ 기본형,199,13년01월(13년형),168138,회색,오토,가솔린,0,준중형,57두5328,0,0,0,0,0,5,
12,한국GM 쉐보레 아베오 LT 최고급형,249,11년08월(12년형),141625,흰색,오토,가솔린,0,소형,341어4729,0,0,0,0,0,5,
13,한국GM 마티즈 CREATIVE GROOVE 스타,180,09년09월(10년형),100177,흰색,오토,가솔린,0,경차,13주8560,0,0,0,0,0,7,
14,한국GM 더 뉴 트랙스 1.4 LS 디럭스,990,19년05월(19년형),62176,초록색,오토,가솔린,1362,SUV,206버9503,1,0,0,0,0,2,
15,한국GM 쉐보레 말리부 2.0 LT 디럭스팩,289,12년11월(13년형),173400,검정,오토,가솔린,0,중형,13도8608,0,0,0,0,0,3,
16,한국GM 더 넥스트 스파크 LS 기본형,550,17년09월(18년형),68830,회색,오토,가솔린,999,경차,21버3124,0,0,0,0,0,2,
17,한국GM 쉐보레 스파크 LS 스타,320,13년01월(13년형),117906,은색,오토,가솔린,995,경차,46소6615,0,0,0,0,0,4,
18,한국GM 쉐보레 스파크 LPGi LS 스타,190,11년08월(12년형),160000,회색,오토,LPG,1000,경차,48부2226,0,0,0,0,0,7,
19,한국GM 더 뉴 트랙스 1.4 LT 코어,1249,20년03월(20년형),68000,흰색,오토,가솔린,1362,SUV,101나5363,1,0,0,0,0,1,
20,한국GM 올 뉴 말리부 1.5 터보 LS,870,16년07월(17년형),115694,쥐색,오토,가솔린,1490,중형,11고0643,0,0,0,0,0,1,
21,한국GM 더 뉴 스파크 Premier 기본형,910,21년12월(22년형),52206,흰색,오토,가솔린,900,경차,122나9481,1,0,0,0,0,1,
22,한국GM 쉐보레 말리부 2.0 디젤 LT 프리미엄팩,615,15년09월(15년형),98032,흰색,오토,디젤,1956,중형,51다0476,0,0,0,0,0,4,
23,한국GM 더 넥스트 스파크 LT Plus,490,16년02월(16년형),103461,검정색,오토,가솔린,999,경차,32도0848,0,0,0,0,0,2,
24,한국GM 쉐보레 올란도 LPG LT 세이프티,800,17년12월(18년형),137579,쥐색,오토,LPG,1998,RV,63누1145,0,0,0,0,0,1,
25,한국GM 쉐보레 캡티바 2WD LT 7인승,650,12년10월(12년형),77000,은색,오토,디젤,1998,SUV,67부9343,0,0,0,0,0,1,
