SEQ,MNAME,PRICE,MYEAR,MILEAGE,COLOR,TRANS,F_TYPE,DISP,VTYPE,VNUM,CU_HIS,MVD_HIS,AVD_HIS,FD_HIS,VT_HIS,US_HIS,L_NAME
1,한국GM 쉐보레 스파크 밴 2인승 밴,230,2015,164960,흰색,오토,가솔린,995,경차,64무8645,0,0,0,0,0,1,한국GM 스파크
2,한국GM 쉐보레 트랙스 1.6 디젤 LTZ,940,2015,38763,회색,오토,디젤,1645,소형,65우0885,0,0,0,0,0,6,한국GM 트랙스
3,한국GM 쉐보레 크루즈 1.8 LT 기본형,440,2012,117158,흰색,오토,가솔린,1796,준중형,49저9588,0,0,0,0,0,1,한국GM 크루즈
4,한국GM 신형 캡티바 2.0 스페셜 에디션 5인승 퍼펙트 블랙,1450,2017,76000,검정색,오토,디젤,1956,SUV,16로1199,0,0,0,0,0,1,한국GM 캡티바
5,한국GM 올 뉴 말리부 1.5 터보 LTZ,1230,2016,59829,파랑색,오토,가솔린,1490,중형,64주0343,0,0,0,0,0,2,한국GM 말리부
6,한국GM 쉐보레 볼트 EV PREMIER,2130,2019,75790,흰색,오토,전기,174,소형,33라7812,0,0,0,0,0,2,한국GM 볼트
7,한국GM 더 넥스트 스파크 LT Plus,630,2015,47936,흰색,오토,가솔린,999,경차,20가0381,0,0,0,0,0,3,한국GM 스파크
8,한국GM 마티즈 CREATIVE JAZZ 스타,167,2009,126933,은색,오토,가솔린,998,경차,18노1971,0,0,0,0,0,7,한국GM 마티즈
9,한국GM 마티즈2 MD,99,2007,119340,회색,오토,가솔린,1002,경차,14수2688,0,0,0,0,0,1,한국GM 마티즈
10,한국GM 쉐보레 말리부 2.0 디젤 LT 디럭스팩,490,2014,96532,흰색,오토,디젤,1956,중형,38서1048,0,0,0,0,0,1,한국GM 말리부
11,한국GM 쉐보레 크루즈 1.8 LT+ 기본형,199,2013,168138,회색,오토,가솔린,1849,준중형,57두5328,0,0,0,0,0,5,한국GM 크루즈
12,한국GM 쉐보레 아베오 LT 최고급형,249,2011,141625,흰색,오토,가솔린,1645,소형,341어4729,0,0,0,0,0,5,한국GM 아베오
13,한국GM 마티즈 CREATIVE GROOVE 스타,180,2009,100177,흰색,오토,가솔린,1002,경차,13주8560,0,0,0,0,0,7,한국GM 마티즈
14,한국GM 더 뉴 트랙스 1.4 LS 디럭스,990,2019,62176,초록색,오토,가솔린,1362,SUV,206버9503,1,0,0,0,0,2,한국GM 트랙스
15,한국GM 쉐보레 말리부 2.0 LT 디럭스팩,289,2012,173400,검정,오토,가솔린,2181,중형,13도8608,0,0,0,0,0,3,한국GM 말리부
